Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager
28,No,Travel_Rarely,Research & Development,1,3,Technical Degree,Male,Research Scientist,Low,Single,2080,2,11,3,5,Good,3,2,1,2
33,No,Travel_Rarely,Research & Development,8,5,Life Sciences,Male,Healthcare Representative,High,Single,6388,2,17,3,14,Better,0,0,0,0
37,Yes,Travel_Rarely,Research & Development,2,2,Other,Male,Laboratory Technician,High,Single,2090,6,15,3,7,Better,0,0,0,0
31,Yes,Travel_Rarely,Human Resources,18,5,Human Resources,Male,Human Resources,Low,Married,2956,0,17,3,2,Better,1,0,0,0
47,No,Travel_Rarely,Research & Development,2,2,Other,Female,Manager,Very High,Married,16752,1,11,3,26,Good,26,14,3,0
34,No,Travel_Rarely,Sales,10,4,Life Sciences,Female,Sales Representative,High,Married,2220,1,19,3,1,Better,1,1,0,0
44,No,Travel_Rarely,Research & Development,20,3,Life Sciences,Male,Research Scientist,Medium,Single,3420,1,13,3,6,Good,5,2,1,3
40,Yes,Non-Travel,Sales,24,3,Life Sciences,Female,Sales Executive,Medium,Single,13194,4,16,3,22,Good,1,0,0,0
44,No,Travel_Rarely,Research & Development,1,3,Medical,Male,Research Scientist,Very High,Single,2436,6,12,3,6,Better,4,3,1,2
39,No,Travel_Rarely,Research & Development,10,1,Medical,Male,Manager,Low,Married,17068,1,14,3,21,Better,21,9,11,10
40,No,Non-Travel,Research & Development,9,4,Other,Male,Laboratory Technician,High,Divorced,3975,3,11,3,11,Best,8,7,0,7
33,Yes,Travel_Rarely,Sales,9,4,Marketing,Female,Sales Executive,Low,Single,8224,0,17,3,6,Better,5,2,0,3
35,No,Travel_Rarely,Research & Development,22,3,Life Sciences,Female,Manager,Medium,Divorced,11996,7,18,3,10,Good,7,7,6,2
21,Yes,Travel_Frequently,Research & Development,10,2,Life Sciences,Female,Laboratory Technician,High,Single,2625,1,20,4,2,Bad,2,2,2,2
40,No,Travel_Rarely,Research & Development,20,4,Technical Degree,Male,Healthcare Representative,Very High,Married,10322,4,20,4,14,Better,11,10,11,1
20,Yes,Travel_Frequently,Sales,9,3,Marketing,Female,Sales Representative,Very High,Single,2323,1,14,3,2,Better,2,2,0,2
29,No,Travel_Rarely,Research & Development,15,1,Life Sciences,Female,Research Scientist,Very High,Married,2168,0,18,3,6,Good,5,4,1,3
60,No,Travel_Frequently,Sales,28,3,Marketing,Female,Sales Executive,Low,Married,10266,4,19,3,22,Best,18,13,13,11
32,No,Travel_Frequently,Research & Development,10,3,Life Sciences,Male,Research Scientist,High,Married,3433,6,13,3,10,Good,5,2,1,3
47,No,Travel_Rarely,Research & Development,25,3,Medical,Male,Healthcare Representative,High,Single,8633,2,23,4,25,Better,17,14,12,11
32,No,Travel_Rarely,Sales,8,3,Medical,Male,Sales Executive,Very High,Married,6209,1,15,3,10,Best,10,7,0,8
27,No,Travel_Rarely,Sales,2,2,Medical,Female,Sales Executive,High,Single,6500,0,14,3,9,Good,8,7,0,7
34,No,Travel_Frequently,Research & Development,10,4,Life Sciences,Male,Manufacturing Director,Very High,Divorced,4724,1,13,3,9,Better,9,7,7,2
36,No,Travel_Frequently,Human Resources,2,1,Human Resources,Male,Human Resources,Very High,Single,3886,1,21,4,10,Good,10,1,0,8
29,No,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,Laboratory Technician,Low,Single,2062,3,14,3,11,Better,3,2,1,2
34,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,Laboratory Technician,Medium,Married,3294,5,17,3,7,Good,5,4,0,2
44,No,Travel_Rarely,Research & Development,28,3,Life Sciences,Male,Research Director,Low,Married,16328,3,13,3,24,Best,20,6,14,17
44,No,Travel_Rarely,Human Resources,1,3,Life Sciences,Female,Human Resources,Very High,Divorced,3195,4,18,3,8,Better,2,2,2,2
38,No,Non-Travel,Sales,2,2,Life Sciences,Male,Sales Executive,Very High,Married,5249,3,18,3,13,Better,8,7,7,5
46,No,Travel_Rarely,Research & Development,8,4,Life Sciences,Female,Research Scientist,Low,Divorced,4615,8,23,4,19,Better,16,13,1,7
40,No,Travel_Rarely,Research & Development,12,3,Life Sciences,Female,Healthcare Representative,Low,Divorced,4448,2,12,3,15,Better,7,4,7,7
39,No,Non-Travel,Research & Development,9,3,Life Sciences,Male,Manager,Very High,Single,19431,2,13,3,21,Good,6,0,1,3
41,No,Travel_Rarely,Sales,2,5,Life Sciences,Female,Manager,Low,Married,16595,7,16,3,22,Better,18,16,11,8
42,Yes,Travel_Frequently,Sales,12,3,Life Sciences,Male,Sales Executive,Low,Single,13758,0,12,3,22,Good,21,9,13,14
21,Yes,Travel_Rarely,Research & Development,18,1,Other,Female,Research Scientist,Very High,Single,2693,1,19,3,1,Good,1,0,0,0
40,No,Non-Travel,Research & Development,8,1,Medical,Male,Research Director,Medium,Divorced,13757,2,11,3,16,Better,9,8,4,8
34,Yes,Travel_Frequently,Sales,6,2,Marketing,Female,Sales Representative,High,Divorced,2351,0,16,3,3,Good,2,2,1,0
39,No,Travel_Frequently,Research & Development,7,2,Medical,Male,Manager,Very High,Married,19272,1,15,3,21,Better,21,9,13,3
28,Yes,Travel_Frequently,Research & Development,1,3,Medical,Male,Laboratory Technician,Medium,Divorced,2596,1,15,3,1,Better,1,0,0,0
39,No,Non-Travel,Research & Development,9,3,Life Sciences,Male,Laboratory Technician,Medium,Single,6782,9,15,3,9,Good,5,4,0,3
29,No,Travel_Rarely,Research & Development,3,1,Medical,Male,Laboratory Technician,Low,Single,4723,1,18,3,10,Better,10,9,1,5
20,No,Travel_Rarely,Sales,21,3,Marketing,Male,Sales Representative,Very High,Single,2678,1,17,3,2,Better,2,1,2,2
49,No,Travel_Rarely,Research & Development,20,4,Medical,Female,Manufacturing Director,Low,Married,6567,1,14,3,16,Good,15,11,5,11
48,No,Non-Travel,Research & Development,1,4,Medical,Male,Manager,Very High,Single,16885,2,22,4,27,Good,5,4,2,1
18,No,Non-Travel,Research & Development,14,3,Medical,Female,Research Scientist,High,Single,1514,1,16,3,0,Bad,0,0,0,0
30,Yes,Travel_Rarely,Sales,9,3,Medical,Male,Sales Representative,Very High,Single,1081,1,13,3,1,Good,1,0,0,0
30,No,Travel_Rarely,Sales,29,4,Life Sciences,Male,Sales Executive,Low,Divorced,4115,8,19,3,8,Better,4,3,0,3
33,No,Non-Travel,Sales,16,3,Life Sciences,Female,Sales Executive,Very High,Divorced,5368,1,25,4,7,Better,6,5,1,2
51,No,Travel_Rarely,Research & Development,8,4,Life Sciences,Male,Research Director,Medium,Married,12490,5,16,3,16,Bad,10,9,4,7
34,No,Travel_Rarely,Sales,8,2,Technical Degree,Male,Sales Executive,High,Married,6799,1,21,4,10,Better,10,8,4,8
28,No,Travel_Rarely,Sales,26,3,Life Sciences,Male,Sales Executive,Low,Married,4724,1,11,3,5,Better,5,3,0,4
39,No,Travel_Rarely,Human Resources,2,3,Life Sciences,Female,Human Resources,Very High,Married,5204,8,11,3,13,Better,5,4,0,4
35,Yes,Travel_Frequently,Sales,12,4,Other,Male,Sales Executive,Very High,Single,4581,3,24,4,13,Best,11,9,6,7
53,No,Travel_Rarely,Sales,7,2,Marketing,Female,Sales Executive,Very High,Married,10934,7,18,3,35,Better,5,2,0,4
43,Yes,Travel_Frequently,Research & Development,17,3,Technical Degree,Male,Research Scientist,High,Married,2437,9,16,3,6,Better,1,0,0,0
28,No,Travel_Rarely,Research & Development,15,2,Life Sciences,Male,Laboratory Technician,High,Divorced,2207,1,16,3,4,Good,4,2,2,2
51,No,Travel_Rarely,Sales,14,2,Life Sciences,Female,Sales Executive,Very High,Married,4936,4,11,3,18,Good,7,7,0,7
49,No,Non-Travel,Research & Development,18,4,Life Sciences,Male,Manufacturing Director,Very High,Divorced,6804,1,15,3,7,Better,7,7,1,7
37,No,Travel_Rarely,Research & Development,6,3,Medical,Male,Research Scientist,Low,Divorced,5974,4,13,3,13,Better,7,7,6,7
34,No,Travel_Rarely,Research & Development,7,4,Medical,Male,Research Scientist,Very High,Single,2972,1,13,3,1,Bad,1,0,0,0
32,Yes,Travel_Rarely,Research & Development,25,4,Life Sciences,Male,Laboratory Technician,Very High,Single,2795,1,24,4,1,Bad,1,0,0,1
46,No,Travel_Rarely,Sales,2,3,Technical Degree,Female,Manager,Medium,Married,16872,3,12,3,28,Good,7,7,7,7
34,No,Travel_Rarely,Sales,3,3,Other,Male,Sales Executive,Low,Single,4759,3,18,3,15,Better,13,9,3,12
45,No,Travel_Rarely,Research & Development,20,2,Medical,Male,Healthcare Representative,Very High,Married,13496,0,14,3,21,Better,20,7,4,10
27,No,Travel_Rarely,Research & Development,8,3,Medical,Female,Research Scientist,Very High,Single,3445,1,11,3,6,Good,6,2,1,4
33,No,Travel_Frequently,Sales,7,3,Life Sciences,Female,Sales Executive,Medium,Married,4302,0,17,3,4,Better,3,2,0,2
36,No,Travel_Rarely,Research & Development,6,2,Medical,Male,Manufacturing Director,Medium,Divorced,4941,6,20,4,7,Better,3,2,0,1
29,Yes,Travel_Rarely,Research & Development,7,3,Technical Degree,Female,Laboratory Technician,High,Divorced,3339,3,13,3,10,Better,7,7,7,7
31,No,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,Research Scientist,Medium,Single,2657,0,16,3,3,Better,2,2,2,2
32,No,Travel_Rarely,Research & Development,9,4,Life Sciences,Female,Research Scientist,Very High,Married,6322,1,12,3,6,Good,6,4,0,5
53,No,Travel_Rarely,Research & Development,5,3,Other,Female,Manager,High,Divorced,19094,4,11,3,26,Good,14,13,4,8
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,Laboratory Technician,Very High,Married,2075,3,23,4,10,Better,4,2,0,3
28,Yes,Travel_Frequently,Research & Development,2,2,Medical,Male,Laboratory Technician,Low,Single,2561,7,11,3,8,Good,0,0,0,0
37,No,Travel_Rarely,Research & Development,5,2,Medical,Male,Manufacturing Director,Very High,Divorced,6347,7,16,3,8,Good,6,2,0,4
49,No,Travel_Rarely,Research & Development,7,3,Other,Male,Healthcare Representative,High,Single,10965,8,24,4,26,Better,5,2,0,0
38,No,Travel_Rarely,Sales,14,3,Life Sciences,Male,Sales Executive,Medium,Married,9924,0,11,3,10,Better,9,8,7,7
29,No,Travel_Rarely,Research & Development,6,1,Medical,Female,Laboratory Technician,Very High,Married,3131,1,13,3,10,Better,10,8,0,8
38,No,Travel_Rarely,Research & Development,18,3,Medical,Male,Healthcare Representative,Very High,Married,5811,3,16,3,15,Better,1,0,1,0
51,No,Travel_Rarely,Human Resources,5,3,Life Sciences,Male,Manager,Medium,Divorced,14026,1,11,3,33,Better,33,9,0,10
48,No,Travel_Rarely,Sales,29,1,Medical,Female,Manager,High,Married,12504,3,21,4,15,Bad,0,0,0,0
23,Yes,Travel_Frequently,Sales,9,3,Marketing,Male,Sales Representative,Low,Married,1790,1,19,3,1,Good,1,0,1,0
53,No,Travel_Rarely,Sales,2,4,Life Sciences,Female,Manager,Very High,Married,15427,2,16,3,31,Better,25,8,3,7
27,No,Travel_Rarely,Research & Development,8,3,Medical,Female,Research Scientist,High,Married,3517,7,17,3,5,Better,3,2,0,2
29,No,Travel_Rarely,Research & Development,3,4,Medical,Male,Research Director,High,Married,11935,1,18,3,10,Better,10,2,0,7
25,No,Travel_Rarely,Research & Development,7,1,Medical,Male,Research Scientist,Very High,Married,2889,1,11,3,2,Better,2,2,2,1
46,No,Travel_Rarely,Sales,3,1,Marketing,Male,Manager,High,Married,17465,3,12,3,23,Better,12,9,4,9
44,No,Travel_Rarely,Research & Development,3,4,Other,Male,Manager,Very High,Married,19513,4,12,3,26,Best,2,2,0,1
60,No,Travel_Rarely,Sales,16,4,Marketing,Male,Sales Executive,Low,Single,5405,8,14,3,10,Better,2,2,2,2
39,No,Non-Travel,Research & Development,1,3,Life Sciences,Male,Laboratory Technician,Very High,Married,6472,1,15,3,9,Better,9,8,5,8
55,No,Non-Travel,Research & Development,2,1,Medical,Male,Manager,Low,Single,16756,7,15,3,31,Best,9,7,6,2
39,No,Travel_Rarely,Research & Development,10,1,Medical,Male,Research Director,High,Single,13464,7,21,4,9,Better,4,3,2,2
40,No,Travel_Frequently,Sales,2,4,Medical,Male,Sales Executive,Medium,Married,4327,5,12,3,5,Better,0,0,0,0
22,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,Male,Research Scientist,Medium,Single,2472,1,23,4,1,Better,1,0,0,0
37,No,Travel_Rarely,Research & Development,13,3,Medical,Male,Research Scientist,Very High,Married,4285,1,17,3,10,Better,10,8,3,7
25,No,Travel_Rarely,Sales,26,1,Medical,Female,Sales Executive,Very High,Single,6180,1,23,4,6,Good,6,5,1,4
31,No,Travel_Rarely,Sales,7,3,Marketing,Male,Sales Executive,Very High,Divorced,7547,4,12,3,13,Better,7,7,1,7
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,Male,Research Scientist,Very High,Married,2293,2,16,3,6,Good,2,0,2,0
41,No,Travel_Rarely,Sales,23,2,Life Sciences,Male,Sales Executive,High,Single,7082,3,16,3,21,Better,2,0,0,2
39,No,Travel_Rarely,Sales,6,3,Medical,Male,Sales Executive,High,Married,8237,2,11,3,11,Better,7,6,7,6
42,No,Travel_Rarely,Research & Development,12,3,Medical,Male,Laboratory Technician,Medium,Divorced,2766,8,22,4,7,Good,5,3,0,4
41,No,Travel_Rarely,Research & Development,7,2,Technical Degree,Female,Research Scientist,High,Married,3376,1,13,3,10,Better,10,6,0,8
41,Yes,Non-Travel,Research & Development,5,2,Life Sciences,Male,Research Scientist,Low,Divorced,2107,6,17,3,5,Bad,1,0,0,0
27,No,Travel_Frequently,Sales,2,1,Life Sciences,Male,Sales Executive,Very High,Single,5071,3,20,4,8,Better,6,2,0,0
32,No,Travel_Frequently,Research & Development,7,3,Life Sciences,Male,Laboratory Technician,Medium,Married,2794,1,20,4,5,Bad,5,1,0,3
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,Manufacturing Director,Very High,Single,7260,4,11,3,37,Good,6,4,0,2
35,No,Non-Travel,Research & Development,2,2,Medical,Male,Manufacturing Director,Very High,Divorced,5762,2,14,3,15,Better,7,7,1,7
39,No,Travel_Rarely,Research & Development,19,4,Other,Male,Research Scientist,Very High,Divorced,3902,8,14,3,7,Better,2,2,2,2
30,No,Travel_Rarely,Research & Development,10,3,Medical,Female,Manufacturing Director,High,Single,9667,9,14,3,9,Better,7,7,0,2
47,Yes,Non-Travel,Research & Development,29,4,Life Sciences,Male,Manager,Medium,Married,11849,1,12,3,10,Good,10,7,9,9
36,No,Travel_Frequently,Sales,11,2,Technical Degree,Female,Sales Executive,Very High,Married,9738,0,14,3,10,Better,9,7,2,8
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Research Scientist,Very High,Single,3944,5,11,3,6,Better,3,2,1,2
47,No,Non-Travel,Research & Development,14,4,Technical Degree,Male,Research Scientist,Medium,Married,5467,8,18,3,16,Best,8,7,1,7
38,No,Travel_Frequently,Research & Development,2,4,Life Sciences,Female,Manufacturing Director,Low,Single,5980,6,12,3,17,Better,15,7,4,12
34,No,Travel_Rarely,Sales,4,3,Life Sciences,Male,Sales Executive,Very High,Married,9713,2,13,3,9,Better,5,3,1,0
56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,Research Scientist,Medium,Married,4963,9,18,3,7,Better,5,4,4,3
37,No,Non-Travel,Research & Development,25,5,Medical,Female,Research Scientist,High,Married,4449,3,15,3,15,Better,13,11,10,7
54,No,Travel_Rarely,Research & Development,3,3,Life Sciences,Male,Research Director,Very High,Married,17779,3,14,3,36,Better,10,9,0,9
33,No,Travel_Rarely,Research & Development,8,4,Life Sciences,Male,Research Scientist,Low,Married,3143,6,19,3,14,Better,10,8,7,6
22,No,Non-Travel,Research & Development,16,2,Medical,Male,Laboratory Technician,Very High,Divorced,2935,1,13,3,1,Good,1,0,0,0
33,No,Travel_Rarely,Human Resources,3,2,Human Resources,Male,Human Resources,Medium,Divorced,2277,3,11,3,7,Best,4,3,0,3
27,No,Travel_Frequently,Sales,20,3,Life Sciences,Female,Sales Executive,High,Single,9981,1,14,3,7,Better,7,7,0,7
48,No,Travel_Rarely,Sales,2,1,Marketing,Male,Sales Executive,Medium,Married,8120,3,12,3,12,Better,2,2,2,2
32,No,Travel_Rarely,Sales,8,2,Technical Degree,Female,Sales Executive,Medium,Married,5228,1,11,3,13,Better,13,12,11,9
34,No,Travel_Rarely,Research & Development,6,4,Other,Female,Research Scientist,High,Single,4809,1,14,3,16,Better,16,13,2,10
45,No,Travel_Rarely,Research & Development,7,3,Medical,Female,Research Scientist,High,Married,4477,4,19,3,7,Good,3,2,0,2
42,No,Travel_Frequently,Research & Development,5,2,Other,Male,Laboratory Technician,High,Married,2093,4,17,3,8,Better,2,2,2,0
41,No,Travel_Rarely,Research & Development,28,4,Life Sciences,Female,Manufacturing Director,Medium,Married,13570,0,23,4,21,Better,20,7,0,10
22,No,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,Research Scientist,Medium,Divorced,2328,1,16,3,4,Good,4,2,2,2
46,No,Travel_Rarely,Sales,1,4,Life Sciences,Male,Manager,Low,Single,17567,1,15,3,27,Bad,26,0,0,12
27,No,Travel_Frequently,Research & Development,1,1,Technical Degree,Male,Manufacturing Director,Low,Married,4298,5,19,3,6,Better,2,2,2,0
30,No,Travel_Rarely,Sales,27,5,Marketing,Male,Sales Executive,Very High,Divorced,5304,7,23,4,10,Good,8,7,7,7
54,No,Travel_Rarely,Research & Development,19,4,Medical,Female,Manufacturing Director,Low,Divorced,5485,9,11,3,9,Better,5,3,1,4
23,No,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,Research Scientist,High,Married,1223,1,22,4,1,Better,1,0,0,1
38,No,Non-Travel,Sales,10,3,Technical Degree,Female,Sales Executive,Very High,Single,5666,1,13,3,6,Better,5,3,1,3
46,No,Travel_Rarely,Human Resources,1,2,Life Sciences,Female,Human Resources,Low,Single,3423,6,12,3,10,Best,7,6,5,7
45,No,Travel_Rarely,Research & Development,1,4,Technical Degree,Male,Healthcare Representative,Medium,Divorced,7441,1,12,3,10,Better,10,8,7,7
33,Yes,Travel_Rarely,Research & Development,1,4,Other,Male,Research Scientist,Very High,Single,2686,1,13,3,10,Good,10,9,7,8
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,Manufacturing Director,Very High,Single,6091,2,20,4,11,Better,5,4,0,2
44,No,Travel_Frequently,Human Resources,1,5,Human Resources,Male,Human Resources,Very High,Married,5743,4,11,3,14,Better,10,7,0,2
37,No,Travel_Rarely,Research & Development,19,3,Life Sciences,Male,Manufacturing Director,High,Married,5768,3,17,3,9,Good,4,3,0,2
53,No,Travel_Rarely,Research & Development,2,3,Medical,Male,Research Director,Medium,Single,16598,4,12,3,35,Good,9,8,8,8
23,No,Travel_Rarely,Research & Development,20,1,Life Sciences,Male,Laboratory Technician,High,Single,2272,0,14,3,5,Better,4,3,1,2
52,No,Travel_Rarely,Research & Development,3,3,Medical,Male,Manufacturing Director,High,Married,7969,2,14,3,28,Better,5,4,0,4
37,No,Non-Travel,Research & Development,1,4,Medical,Female,Research Director,Very High,Divorced,13603,2,18,3,15,Better,5,2,0,2
43,No,Travel_Frequently,Sales,26,2,Life Sciences,Male,Manager,Very High,Married,16959,1,12,3,25,Best,25,12,4,12
38,No,Travel_Frequently,Human Resources,10,4,Human Resources,Male,Human Resources,High,Married,6077,3,11,3,10,Better,6,3,1,2
34,No,Non-Travel,Sales,23,4,Marketing,Male,Sales Executive,High,Single,4568,0,20,4,10,Better,9,5,8,7
26,No,Travel_Rarely,Sales,29,2,Medical,Male,Sales Executive,High,Divorced,4306,5,12,3,8,Better,0,0,0,0
29,No,Travel_Rarely,Research & Development,8,1,Medical,Male,Manufacturing Director,Very High,Married,5056,1,15,3,10,Good,10,7,1,2
41,No,Travel_Rarely,Research & Development,7,2,Medical,Female,Manufacturing Director,High,Single,5003,6,14,3,8,Better,2,2,2,1
27,Yes,Travel_Frequently,Human Resources,22,3,Human Resources,Female,Human Resources,Medium,Married,2863,1,12,3,1,Better,1,0,0,0
42,No,Travel_Rarely,Sales,8,4,Marketing,Male,Sales Executive,Medium,Married,6825,0,11,3,10,Better,9,7,4,2
29,No,Travel_Rarely,Research & Development,27,3,Medical,Female,Healthcare Representative,High,Married,4335,4,12,3,11,Good,8,7,1,1
32,No,Non-Travel,Research & Development,1,4,Technical Degree,Male,Research Scientist,Low,Married,4087,4,14,3,9,Good,6,5,1,2
21,Yes,Travel_Rarely,Research & Development,10,3,Life Sciences,Female,Laboratory Technician,Low,Single,1416,1,13,3,1,Good,1,0,1,0
31,No,Travel_Rarely,Research & Development,12,3,Medical,Female,Healthcare Representative,Very High,Married,5855,0,11,3,10,Bad,9,7,8,5
45,No,Non-Travel,Research & Development,2,2,Medical,Male,Manager,Very High,Married,16792,9,23,4,22,Better,20,8,11,8
27,No,Non-Travel,Sales,1,1,Marketing,Male,Sales Executive,Medium,Married,6349,0,13,3,6,Better,5,4,1,4
41,No,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,Healthcare Representative,Medium,Single,6870,3,12,3,11,Bad,3,2,1,2
27,No,Travel_Frequently,Research & Development,2,3,Medical,Male,Research Scientist,Very High,Single,2580,2,13,3,6,Good,4,2,1,2
46,No,Travel_Frequently,Research & Development,1,3,Medical,Male,Healthcare Representative,Low,Married,10673,2,13,3,21,Good,10,9,9,5
23,No,Travel_Rarely,Sales,2,1,Technical Degree,Male,Sales Representative,Low,Divorced,2322,3,13,3,3,Better,0,0,0,0
39,No,Travel_Rarely,Research & Development,12,3,Medical,Male,Manufacturing Director,Medium,Married,5295,4,21,4,7,Better,5,4,1,0
33,No,Travel_Frequently,Sales,5,1,Life Sciences,Male,Sales Executive,Very High,Married,9998,6,13,3,8,Best,5,4,1,2
31,No,Non-Travel,Research & Development,3,2,Medical,Male,Research Scientist,Low,Divorced,3065,1,13,3,4,Best,4,2,2,3
34,No,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,Research Scientist,High,Divorced,2768,3,12,3,14,Better,7,3,5,7
28,Yes,Travel_Rarely,Sales,13,2,Marketing,Female,Sales Executive,High,Single,9854,3,11,3,6,Better,2,0,2,2
43,No,Travel_Frequently,Research & Development,10,4,Life Sciences,Female,Laboratory Technician,Very High,Single,2455,0,19,3,9,Better,8,7,1,7
42,No,Non-Travel,Research & Development,2,1,Life Sciences,Male,Manager,High,Married,17861,0,13,3,21,Good,20,8,2,10
27,No,Non-Travel,Research & Development,3,3,Medical,Male,Research Scientist,High,Divorced,2566,1,15,3,1,Good,1,1,0,1
36,No,Non-Travel,Research & Development,18,4,Life Sciences,Male,Manufacturing Director,Very High,Single,7779,2,20,4,18,Better,11,9,0,9
30,No,Non-Travel,Research & Development,1,1,Life Sciences,Male,Manufacturing Director,High,Single,8474,1,22,4,12,Better,11,8,5,8
47,No,Non-Travel,Sales,2,4,Marketing,Male,Sales Executive,Medium,Married,4978,7,11,3,4,Bad,1,0,0,0
30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,Female,Research Scientist,Low,Divorced,3204,5,14,3,8,Better,3,2,2,2
46,No,Travel_Rarely,Research & Development,2,2,Life Sciences,Male,Manufacturing Director,Very High,Divorced,8578,3,14,3,12,Good,9,8,4,7
59,No,Travel_Rarely,Sales,25,3,Life Sciences,Female,Sales Executive,Low,Single,7637,7,11,3,28,Good,21,16,7,9
48,No,Travel_Rarely,Research & Development,2,2,Technical Degree,Male,Laboratory Technician,Medium,Single,2559,5,11,3,7,Good,1,0,0,0
48,No,Travel_Rarely,Research & Development,15,4,Other,Female,Research Scientist,Low,Married,2367,8,12,3,10,Good,8,2,7,6
45,No,Travel_Rarely,Research & Development,29,3,Medical,Male,Research Scientist,Very High,Single,3452,5,13,3,9,Good,6,5,0,3
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,Research Scientist,Low,Divorced,9724,2,17,3,25,Better,1,0,0,0
27,No,Travel_Rarely,Research & Development,4,2,Life Sciences,Male,Research Scientist,High,Divorced,2517,1,11,3,5,Better,5,3,0,3
26,Yes,Non-Travel,Sales,29,2,Medical,Male,Sales Executive,Low,Single,4969,8,18,3,7,Better,2,2,2,2
29,Yes,Travel_Frequently,Research & Development,14,1,Other,Female,Healthcare Representative,Very High,Single,7553,0,12,3,9,Better,8,7,7,7
43,No,Travel_Rarely,Sales,25,3,Medical,Male,Sales Executive,Very High,Divorced,10798,5,13,3,18,Better,1,0,0,0
24,No,Travel_Rarely,Sales,4,1,Medical,Female,Sales Executive,High,Married,4162,1,12,3,5,Better,5,4,0,3
34,No,Travel_Frequently,Research & Development,2,2,Life Sciences,Male,Manufacturing Director,High,Single,4033,2,11,3,5,Good,3,2,0,2
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,Male,Sales Representative,Low,Single,3407,7,23,4,10,Better,5,3,0,3
51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,Research Director,High,Single,19537,7,13,3,23,Better,20,18,15,15
45,No,Non-Travel,Sales,9,4,Life Sciences,Female,Sales Executive,High,Married,5593,1,13,3,15,Better,15,10,4,12
29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Research Scientist,Medium,Married,2703,0,23,4,6,Better,5,4,0,4
44,Yes,Travel_Rarely,Human Resources,1,2,Medical,Male,Human Resources,Low,Married,10482,9,14,3,24,Better,20,6,3,6
